,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
87,Tubular,Sharma Traverse Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114189856/tubular,3.0,-1,Boulder,V1,1,12.0,37.32954,-118.57498000000001,1,1,5,0
88,Heart Prow,Heart Prow Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108088018/heart-prow,2.5,-1,Boulder,V1,1,,37.3184,-118.5741,6,3,11,5
89,No Chicken,Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715500/no-chicken,2.0,-1,Boulder,V1,1,12.0,37.318259999999995,-118.5744,1,1,0,1
90,Ballbuster,Queen Sweet Nectar Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499920/ballbuster,2.0,-1,Boulder,V1,1,20.0,37.33684,-118.57603999999999,1,1,2,0
91,Boneyard Rail Problem,Boneyard Area > Painted Cave Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111715390/boneyard-rail-problem,2.0,-1,Boulder,V1,1,14.0,37.32143,-118.58055,1,1,1,0
92,The Shard,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054351/the-shard,2.0,-1,Boulder,V1,1,,37.318290000000005,-118.5863,1,1,3,0
93,White Face,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054765/white-face,2.0,-1,Boulder,V1,1,,37.318290000000005,-118.5863,1,1,0,0
94,The Glass House Arete,The Glass House > The Glass House > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054434/the-glass-house-arete,2.0,-1,Boulder,V1 PG13,1,20.0,37.31538,-118.5724,1,1,1,0
95,Unknown,Creek Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054520/unknown,2.0,-1,"Boulder, Alpine",V1,1,,37.28557,-118.64861,1,1,1,0
96,West Face,Whale Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054598/west-face,2.0,-1,"Boulder, Alpine",V1 PG13,1,,37.28602,-118.64943999999998,1,1,1,0
97,West Arete,Tang > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054638/west-arete,2.0,-1,"Boulder, Alpine",V1,1,,37.28499,-118.65077,1,1,6,0
98,Unnamed V2,Iron Man Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107370951/unnamed-v2,2.3,-1,Boulder,V1+,1,,37.330009999999994,-118.57811000000001,37,18,10,62
99,Unnamed,Lower Smoking Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107347384/unnamed,2.4,-1,Boulder,V1+,1,20.0,37.32881,-118.57468999999999,5,5,10,5
100,Pothole Traverse,Pothole Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130742/pothole-traverse,2.5,-1,Boulder,V1-2,1,,37.32885,-118.57667,2,1,13,2
101,Wanderlust,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107027383/wanderlust,2.4,-1,Boulder,V2,1,,37.3377,-118.5701,18,5,9,24
102,Hunting Dog,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108477060/hunting-dog,2.3,-1,Boulder,V2,1,12.0,37.3377,-118.5701,18,1,6,22
103,Cover Me With Flowers,Honey Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108054574/cover-me-with-flowers,3.3,-1,Boulder,V2,1,,37.336999999999996,-118.5702,39,11,122,48
104,Timothy Leary Presents...,The Hive Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112252241/timothy-leary-presents,3.4,-1,Boulder,V2,1,20.0,37.33781,-118.57337,5,3,26,2
105,North Face Direct,Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106378692/north-face-direct,3.3,-1,Boulder,V2,1,20.0,37.32837,-118.57479,21,6,71,30
